feature,value,background_frac,high_residual_frac,enrichment
segment,generation_start,0.004795766495783033,0.024793388429752067,5.169848090332391
token_class,missing,0.004795766495783033,0.024793388429752067,5.169848090332391
token_class,assistant_marker,0.015544898296676038,0.0743801652892562,4.784859964011533
token_class,refusal_style,0.001819083843228047,0.008264462809917356,4.543198653258909
token_class,code_math,0.0071109641144369105,0.024793388429752067,3.486641972046203
source,wikitext,0.19530345625930212,0.6115702479338843,3.1313846539946786
token_class,capitalized,0.09988424011906731,0.19008264462809918,1.9030293817971804
segment,prompt,0.4357532660823549,0.7355371900826446,1.687967128755072
source,beavertails,0.1466843062675707,0.1487603305785124,1.0141530089319968
token_class,mixed,0.0165371258475277,0.01652892561983471,0.99950413226139
token_class,punctuation,0.14255002480568876,0.14049586776859505,0.9855899216749792
token_class,word,0.6633041177443361,0.5041322314049587,0.7600318137015389
token_class,space,0.012237473127170499,0.008264462809917356,0.6753406564160175
segment,response,0.5594509674218621,0.2396694214876033,0.4284011218421507
source,alpaca,0.22176285761534645,0.09090909090909091,0.40993831192794616
source,arena,0.3714238465354721,0.1322314049586777,0.3560121592517001
token_class,digit_or_entity,0.03224739540267901,0.008264462809917356,0.2562831338914161
source,just_eval,0.06482553332230859,0.01652892561983471,0.2549755554293452
token_class,discourse,0.003968910203406648,0.0,2.5195826985034755e-07
