mean_mae,position_source_mae,rich_mae,rich_minus_position_mae,rich_minus_mean_mae
0.08164787975808283,0.06704180739965869,0.052895043750048075,-0.014146763649610615,-0.02875283600803475
0.06975431336385476,0.05415648497114029,0.04014686845871631,-0.01400961651242398,-0.029607444905138454
0.06829259986252605,0.051975689513657566,0.03783606581005772,-0.014139623703599849,-0.03045653405246833
0.08293377381160998,0.06826533299730383,0.05496618461099212,-0.013299148386311715,-0.027967589200617857
0.07408559938426147,0.05676026358815723,0.04367896528550722,-0.013081298302650007,-0.03040663409875425
0.08228951183494174,0.06739556936784961,0.05332929783391406,-0.014066271533935554,-0.028960214001027676
0.08382474822676088,0.0683282565310366,0.05410716876571106,-0.014221087765325532,-0.029717579461049817
0.06799197114515154,0.051642573702443295,0.035381043112789536,-0.01626153058965376,-0.032610928032362006
0.06782725965219343,0.05365257352424063,0.04016721644462575,-0.01348535707961488,-0.027660043207567674
0.06809688621843646,0.05330943545245996,0.03953604999240935,-0.013773385460050608,-0.028560836226027106
0.06745918768430341,0.0519101714337567,0.03885406495879993,-0.013056106474956773,-0.02860512272550348
0.07606422452480699,0.06108613753467897,0.044538861890393563,-0.01654727564428541,-0.031525362634413426
0.06732597469976792,0.04920266642380038,0.03491684819681497,-0.014285818226985415,-0.032409126502952953
0.07011331590808066,0.05405324872486237,0.038696161214391435,-0.015357087510470935,-0.03141715469368923
0.09305234629155322,0.07751630667090927,0.06439743193957125,-0.01311887473133802,-0.028654914351981975
0.07136283617417893,0.0574293462961487,0.04283824391707505,-0.014591102379073649,-0.02852459225710388
0.07445928922861196,0.060357793545288786,0.044919907386996326,-0.01543788615829246,-0.029539381841615635
0.07406563429624058,0.06067636611077196,0.04811391585813982,-0.01256245025263214,-0.025951718438100756
0.07526852224840298,0.05920181899840157,0.045056763170417444,-0.01414505582798413,-0.03021175907798554
0.06806829494412305,0.05136325064504008,0.03630604242854077,-0.015057208216499314,-0.031762252515582276
0.06880681736415444,0.0520378862763071,0.034711291038996915,-0.017326595237310186,-0.03409552632515752
0.06864120106891748,0.05317406752172868,0.03771878645628975,-0.015455281065438926,-0.03092241461262773
0.08379494482970758,0.06718635843600927,0.052482316099224206,-0.014704042336785066,-0.03131262873048337
0.07478457501691259,0.05982527160923173,0.04611690782547812,-0.013708363783753605,-0.028667667191434466
0.06760730658751213,0.0523191007396013,0.04048212582527193,-0.01183697491432937,-0.0271251807622402
0.07681363352220803,0.058639061552682996,0.043857497807916146,-0.01478156374476685,-0.03295613571429189
0.08593734686268951,0.0701158417665178,0.05378102397958845,-0.016334817786929356,-0.032156322883101066
0.08965098106772007,0.07484591472787692,0.06253112159612927,-0.012314793131747659,-0.027119859471590804
0.06908068459686903,0.05631979071188948,0.041918791665703,-0.014400999046186483,-0.027161892931166033
0.06732506092448996,0.051068419194384915,0.03701827112061949,-0.014050148073765423,-0.03030678980387047
0.0844110760733488,0.06740413091254474,0.05358084961788368,-0.01382328129466106,-0.03083022645546512
