source,tokens,examples,mean_fwd_kl,median_fwd_kl,p90_fwd_kl,p99_fwd_kl,mean_js,top1_disagree_rate,mean_base_entropy
just_eval,1422,60,0.10898140804142911,0.06299271807074547,0.270754709839821,0.584701418876648,0.026517207416501855,0.18706047819971872,3.356539087900702
beavertails,4972,60,0.1043886006414739,0.04348148591816425,0.20756251960992822,1.2372499871253966,0.023654585545055087,0.15024135156878515,2.1004840591461553
wikitext,5207,59,0.09633654468956378,0.041525986045598984,0.18373390436172485,1.1453029274940447,0.01945411887681968,0.13116957941232954,2.4786370218461
arena,7329,60,0.08449669862308377,0.03458581119775772,0.17598700225353237,1.2604696750640967,0.019597234686501867,0.1312593805430482,1.7853344948409113
alpaca,5119,60,0.07064767767299457,0.03137513995170593,0.1720820635557174,0.5591089725494385,0.01769616604396423,0.12775932799374878,1.814426128122509
